FileName, KnownNumberArrangement, SecondsElapsed, NumberCount\n
../data-set/10000-numbers-0-ordered-ascending.txt, ascending, 0m0.006s, 19999
../data-set/10000-numbers-0-ordered-descending.txt, descending, 0m0.005s, 19999
../data-set/10000-numbers-0-unordered.txt, unordered, 0m0.005s, 19999
../data-set/10000-numbers-1-ordered-ascending.txt, ascending, 0m0.009s, 19999
../data-set/10000-numbers-1-ordered-descending.txt, descending, 0m0.006s, 19999
../data-set/10000-numbers-1-unordered.txt, unordered, 0m0.006s, 19999
../data-set/10000-numbers-10-ordered-ascending.txt, ascending, 0m0.008s, 10000
../data-set/10000-numbers-10-ordered-descending.txt, descending, 0m0.005s, 10000
../data-set/10000-numbers-10-unordered.txt, unordered, 0m0.009s, 10000
../data-set/10000-numbers-11-ordered-ascending.txt, ascending, 0m0.007s, 10000
../data-set/10000-numbers-11-ordered-descending.txt, descending, 0m0.006s, 10000
../data-set/10000-numbers-11-unordered.txt, unordered, 0m0.007s, 10000
../data-set/10000-numbers-12-ordered-ascending.txt, ascending, 0m0.009s, 10000
../data-set/10000-numbers-12-ordered-descending.txt, descending, 0m0.005s, 10000
../data-set/10000-numbers-12-unordered.txt, unordered, 0m0.008s, 10000
../data-set/10000-numbers-13-ordered-ascending.txt, ascending, 0m0.010s, 10000
../data-set/10000-numbers-13-ordered-descending.txt, descending, 0m0.008s, 10000
../data-set/10000-numbers-13-unordered.txt, unordered, 0m0.010s, 10000
../data-set/10000-numbers-14-ordered-ascending.txt, ascending, 0m0.010s, 10000
../data-set/10000-numbers-14-ordered-descending.txt, descending, 0m0.008s, 10000
../data-set/10000-numbers-14-unordered.txt, unordered, 0m0.006s, 10000
../data-set/10000-numbers-15-ordered-ascending.txt, ascending, 0m0.011s, 10000
../data-set/10000-numbers-15-ordered-descending.txt, descending, 0m0.007s, 10000
../data-set/10000-numbers-15-unordered.txt, unordered, 0m0.006s, 10000
../data-set/10000-numbers-16-ordered-ascending.txt, ascending, 0m0.007s, 10000
../data-set/10000-numbers-16-ordered-descending.txt, descending, 0m0.007s, 10000
../data-set/10000-numbers-16-unordered.txt, unordered, 0m0.006s, 10000
../data-set/10000-numbers-17-ordered-ascending.txt, ascending, 0m0.009s, 10000
../data-set/10000-numbers-17-ordered-descending.txt, descending, 0m0.010s, 10000
../data-set/10000-numbers-17-unordered.txt, unordered, 0m0.011s, 10000
../data-set/10000-numbers-18-ordered-ascending.txt, ascending, 0m0.009s, 10000
../data-set/10000-numbers-18-ordered-descending.txt, descending, 0m0.008s, 10000
../data-set/10000-numbers-18-unordered.txt, unordered, 0m0.012s, 10000
../data-set/10000-numbers-19-ordered-ascending.txt, ascending, 0m0.011s, 10000
../data-set/10000-numbers-19-ordered-descending.txt, descending, 0m0.013s, 10000
../data-set/10000-numbers-19-unordered.txt, unordered, 0m0.007s, 10000
../data-set/10000-numbers-2-ordered-ascending.txt, ascending, 0m0.010s, 19999
../data-set/10000-numbers-2-ordered-descending.txt, descending, 0m0.011s, 19999
../data-set/10000-numbers-2-unordered.txt, unordered, 0m0.009s, 19999
../data-set/10000-numbers-20-ordered-ascending.txt, ascending, 0m0.011s, 10000
../data-set/10000-numbers-20-ordered-descending.txt, descending, 0m0.006s, 10000
../data-set/10000-numbers-20-unordered.txt, unordered, 0m0.010s, 10000
../data-set/10000-numbers-21-ordered-ascending.txt, ascending, 0m0.006s, 10000
../data-set/10000-numbers-21-ordered-descending.txt, descending, 0m0.006s, 10000
../data-set/10000-numbers-21-unordered.txt, unordered, 0m0.012s, 10000
